#Time        Beam      DM        SNR       Nhits     
700.631     0         721.00    6.43      2         
401.471     0         719.00    6.14      30        
307.753     0         783.00    6.12      4         
640.921     0         775.00    6.02      2         
706.105     0         729.00    5.93      2         
86.869      0         779.00    5.89      2         
794.666     0         754.00    5.87      1         
279.137     0         781.00    5.83      4         
717.783     0         765.00    5.82      4         
394.262     0         737.00    5.81      1         
845.939     0         708.00    5.78      1         
168.109     0         785.00    5.74      5         
375.246     0         777.00    5.73      2         
787.031     0         724.00    5.71      1         
302.882     0         730.00    5.69      11        
632.677     0         769.00    5.68      1         
230.135     0         707.00    5.68      2         
740.767     0         784.00    5.63      1         
293.845     0         764.00    5.62      1         
514.743     0         739.00    5.61      2         
37.360      0         770.00    5.61      1         
170.410     0         748.00    5.60      2         
169.383     0         732.00    5.59      1         
589.767     0         710.00    5.58      3         
593.845     0         777.00    5.57      1         
209.177     0         704.00    5.55      1         
729.857     0         760.00    5.54      1         
468.302     0         783.00    5.53      3         
578.149     0         789.00    5.52      2         
487.481     0         735.00    5.52      3         
281.974     0         747.00    5.51      1         
49.913      0         791.00    5.48      1         
724.061     0         732.00    5.48      1         
673.670     0         779.00    5.48      2         
568.489     0         714.00    5.48      4         
322.070     0         729.00    5.48      1         
261.128     0         756.00    5.48      2         
246.578     0         755.00    5.47      1         
674.277     0         772.00    5.47      2         
82.033      0         759.00    5.46      1         
645.665     0         758.00    5.46      2         
807.783     0         712.00    5.46      1         
222.211     0         738.00    5.46      2         
250.348     0         784.00    5.45      3         
631.281     0         735.00    5.45      1         
537.160     0         794.00    5.44      1         
855.732     0         732.00    5.44      2         
842.845     0         767.00    5.44      1         
680.391     0         718.00    5.44      3         
669.852     0         721.00    5.44      9         
87.366      0         764.00    5.43      3         
309.443     0         704.00    5.43      1         
369.472     0         758.00    5.43      2         
625.156     0         707.00    5.42      2         
135.484     0         765.00    5.42      1         
504.626     0         714.00    5.41      2         
413.938     0         714.00    5.41      3         
420.022     0         773.00    5.41      1         
282.875     0         777.00    5.41      3         
668.193     0         769.00    5.40      3         
354.955     0         791.00    5.40      2         
874.119     0         777.00    5.39      1         
283.684     0         777.00    5.39      1         
12.023      0         764.00    5.38      1         
459.740     0         737.00    5.38      1         
46.897      0         724.00    5.38      6         
404.311     0         787.00    5.38      1         
270.317     0         774.00    5.38      1         
183.513     0         753.00    5.37      1         
396.049     0         754.00    5.37      1         
51.736      0         708.00    5.36      1         
30.395      0         786.00    5.35      2         
853.450     0         747.00    5.34      3         
266.618     0         783.00    5.34      1         
525.234     0         729.00    5.34      1         
818.461     0         732.00    5.34      2         
604.590     0         711.00    5.34      3         
383.288     0         731.00    5.33      2         
312.924     0         773.00    5.33      1         
687.154     0         713.00    5.33      1         
675.364     0         704.00    5.32      1         
733.644     0         723.00    5.32      2         
657.022     0         783.00    5.32      2         
339.879     0         771.00    5.32      6         
442.351     0         790.00    5.32      1         
580.575     0         731.00    5.31      2         
551.390     0         798.00    5.30      2         
582.933     0         775.00    5.30      1         
